Circuit: * C:\Users\wesle\Desktop\projetos\joule_thief\joule_thief_V2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00689877 ++++++++++++++++++++++++to 0.00689877
Heightened Def Con from 0.00689878 ++++++++++++++++++++++++to 0.00689878
Heightened Def Con from 0.00689878 ++++++++++++++++++++++++to 0.00689878
Heightened Def Con from 0.00689878 ++++++++++++++++++++++++to 0.00689878
Heightened Def Con from 0.00689878 ++++++++++++++++++++++++to 0.00689878
Heightened Def Con from 0.00689878 ++++++++++++++++++++++++to 0.00689878
Heightened Def Con from 0.00689879 ++++++++++++++++++++++++to 0.00689879
Heightened Def Con from 0.00689879 ++++++++++++++++++++++++to 0.00689879
Heightened Def Con from 0.00689879 ++++++++++++++++++++++++to 0.00689879
Heightened Def Con from 0.00689879 ++++++++++++++++++++++++to 0.00689879
Heightened Def Con from 0.00689879 ++++++++++++++++++++++++to 0.00689879
Heightened Def Con from 0.00689879 ++++++++++++++++++++++++to 0.0068988
Heightened Def Con from 0.0068988 ++++++++++++++++++++++++to 0.0068988
Heightened Def Con from 0.0068988 ++++++++++++++++++++++++to 0.0068988
Heightened Def Con from 0.0068988 ++++++++++++++++++++++++to 0.0068988
Heightened Def Con from 0.0068988 ++++++++++++++++++++++++to 0.0068988
Heightened Def Con from 0.0068988 ++++++++++++++++++++++++to 0.00689881
Heightened Def Con from 0.00689881 ++++++++++++++++++++++++to 0.00689881
Heightened Def Con from 0.00689881 ++++++++++++++++++++++++to 0.00689881
Heightened Def Con from 0.00689881 ++++++++++++++++++++++++to 0.00689881
Heightened Def Con from 0.00689881 ++++++++++++++++++++++++to 0.00689881
Heightened Def Con from 0.00689881 ++++++++++++++++++++++++to 0.00689881
Heightened Def Con from 0.00689882 ++++++++++++++++++++++++to 0.00689882
Heightened Def Con from 0.00689882 ++++++++++++++++++++++++to 0.00689882
Heightened Def Con from 0.00689882 ++++++++++++++++++++++++to 0.00689882
Heightened Def Con from 0.00689882 ++++++++++++++++++++++++to 0.00689882
Heightened Def Con from 0.00689882 ++++++++++++++++++++++++to 0.00689882
Heightened Def Con from 0.00689883 ++++++++++++++++++++++++to 0.00689883
Heightened Def Con from 0.00689883 ++++++++++++++++++++++++to 0.00689883
Heightened Def Con from 0.00689883 ++++++++++++++++++++++++to 0.00689883
Heightened Def Con from 0.00689883 ++++++++++++++++++++++++to 0.00689883
Heightened Def Con from 0.00689883 ++++++++++++++++++++++++to 0.00689883
Heightened Def Con from 0.00689884 ++++++++++++++++++++++++to 0.00689884
Heightened Def Con from 0.00689884 ++++++++++++++++++++++++to 0.00689884
Heightened Def Con from 0.00689884 ++++++++++++++++++++++++to 0.00689884
Heightened Def Con from 0.00689884 ++++++++++++++++++++++++to 0.00689884
Heightened Def Con from 0.00689884 ++++++++++++++++++++++++to 0.00689884
Heightened Def Con from 0.00689884 ++++++++++++++++++++++++to 0.00689885
Heightened Def Con from 0.00689885 ++++++++++++++++++++++++to 0.00689885
Heightened Def Con from 0.00689885 ++++++++++++++++++++++++to 0.00689885
Heightened Def Con from 0.00689885 ++++++++++++++++++++++++to 0.00689885
Heightened Def Con from 0.00689885 ++++++++++++++++++++++++to 0.00689885
Heightened Def Con from 0.00689885 ++++++++++++++++++++++++to 0.00689886
Heightened Def Con from 0.00689886 ++++++++++++++++++++++++to 0.00689886
Heightened Def Con from 0.00689886 ++++++++++++++++++++++++to 0.00689886
Heightened Def Con from 0.00689886 ++++++++++++++++++++++++to 0.00689886
Heightened Def Con from 0.00689886 ++++++++++++++++++++++++to 0.00689886
Heightened Def Con from 0.00689886 ++++++++++++++++++++++++to 0.00689887
Heightened Def Con from 0.00689887 ++++++++++++++++++++++++to 0.00689887
Heightened Def Con from 0.00689887 ++++++++++++++++++++++++to 0.00689887
Heightened Def Con from 0.00689887 ++++++++++++++++++++++++to 0.00689887
Heightened Def Con from 0.00689887 ++++++++++++++++++++++++to 0.00689887
Heightened Def Con from 0.00689887 ++++++++++++++++++++++++to 0.00689887
Heightened Def Con from 0.00689888 ++++++++++++++++++++++++to 0.00689888
Heightened Def Con from 0.00689888 ++++++++++++++++++++++++to 0.00689888
Heightened Def Con from 0.00689888 ++++++++++++++++++++++++to 0.00689888
Heightened Def Con from 0.00689888 ++++++++++++++++++++++++to 0.00689888
Heightened Def Con from 0.00689888 ++++++++++++++++++++++++to 0.00689888
Heightened Def Con from 0.00689889 ++++++++++++++++++++++++to 0.00689889
Heightened Def Con from 0.00689889 ++++++++++++++++++++++++to 0.00689889
Heightened Def Con from 0.00689889 ++++++++++++++++++++++++to 0.00689889
Heightened Def Con from 0.00689889 ++++++++++++++++++++++++to 0.00689889
Heightened Def Con from 0.00689889 ++++++++++++++++++++++++to 0.00689889
Heightened Def Con from 0.00689889 ++++++++++++++++++++++++to 0.0068989
Heightened Def Con from 0.0068989 ++++++++++++++++++++++++to 0.0068989
Heightened Def Con from 0.0068989 ++++++++++++++++++++++++to 0.0068989
Heightened Def Con from 0.0068989 ++++++++++++++++++++++++to 0.0068989
Heightened Def Con from 0.0068989 ++++++++++++++++++++++++to 0.0068989
Heightened Def Con from 0.0068989 ++++++++++++++++++++++++to 0.00689891
Heightened Def Con from 0.00689891 ++++++++++++++++++++++++to 0.00689891
Heightened Def Con from 0.00689891 ++++++++++++++++++++++++to 0.00689891
Heightened Def Con from 0.00689891 ++++++++++++++++++++++++to 0.00689891
